variant,mean_acc,std,time_s
SVC(linear),0.9199999999999999,0.050990195135927854,0.0044291019439697266
LinearSVC,0.9349999999999999,0.046368092477478515,0.0039179325103759766
SGDClassifier,0.89,0.05147815070493498,0.004086017608642578
